Student First Name,Student Last Name,Student ID,Student DOB,Gender,Race/Ethnicity,IDEA Indicator,Limited English Proficiency Status,Section 504 Status,Economic Disadvantage Status,English Language Proficiency Level,Language Code,Migrant Status,First Entry Date Into US School,LEP Entry Date,LEP Exit Date,Primary Disability Type,Enrolled Grade,Enrolled School,Enrolled School ID,Enrolled District,Enrolled District ID,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
Damien,Alcazar,99000012,06/03/2006,M,Asian (non-Filipino),,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2322,30,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2379,21,3,Near Standard,Near Standard,Near Standard
Joshua,Alfaro,99000013,11/01/2011,M,American Indian / Alaska Native,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2540,25,4,Near Standard,Above Standard,Near Standard,Near Standard,1,2507,17,4,Above Standard,Near Standard,Near Standard
Alice,Allen,99000014,10/08/2004,M,White,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2447,25,2,Near Standard,Near Standard,Below Standard,Near Standard,1,2498,17,1,Below Standard,Below Standard,Near Standard
Sherry,Allen,99000015,03/23/2008,M,Hispanic,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2566,25,4,Above Standard,Above Standard,Near Standard,Near Standard,1,2599,18,2,Below Standard,Near Standard,Below Standard
Dominique,Almaguer,99000016,08/10/2005,M,Hispanic,Y,,N,,,ENG,N,,,,SLI,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2587,26,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2522,17,2,Near Standard,Near Standard,Near Standard
David,Alvarez,99000017,01/04/2004,M,Hispanic,,Y,N,,,SPA,N,8/16/11,8/16/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2446,25,2,Near Standard,Below Standard,Near Standard,Near Standard,1,2468,17,3,Above Standard,Near Standard,Near Standard
Haggit,Alvarez,99000018,02/08/2006,M,Hispanic,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,NS,NS,NS,NS,NS,NS,NS,1,2545,17,3,Near Standard,Near Standard,Near Standard
Jasmine,Alvarez,99000019,08/12/2005,M,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2323,30,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2520,17,2,Near Standard,Near Standard,Near Standard
Lauren,Alvarez,99000020,06/26/2009,M,White,,,N,Y,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2571,25,4,Near Standard,Above Standard,Near Standard,Above Standard,1,2562,17,1,Below Standard,Near Standard,Below Standard
Tiffany,Alvarez,99000021,06/17/2010,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2531,25,3,Above Standard,Near Standard,Above Standard,Near Standard,1,2509,17,2,Near Standard,Near Standard,Near Standard
Tyler,Amodo,99000024,09/22/2004,M,Hispanic,Y,,N,Y,,SPA,N,8/17/11,8/17/11,5/9/16,SLI,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2550,25,4,Above Standard,Near Standard,Near Standard,Above Standard,1,2565,17,1,Below Standard,Below Standard,Below Standard
Jeannet,Amos,99000025,12/05/2005,M,Hispanic,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2453,25,2,Near Standard,Near Standard,Below Standard,Near Standard,1,2499,17,3,Near Standard,Near Standard,Near Standard
Lorena,Anacostes,99000026,03/13/2011,M,Hispanic,Y,,N,Y,,SPA,N,8/9/10,8/9/10,5/10/16,SLD,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2371,27,1,Near Standard,Below Standard,Near Standard,Below Standard,1,2413,19,2,Below Standard,Near Standard,Below Standard
Mark,Anagnostis,99000027,05/24/2009,M,Hispanic,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2659,30,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2564,17,4,Above Standard,Near Standard,Above Standard
Erik,Anderson,99000028,12/06/2004,M,Hispanic,,,N,Y,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2443,25,2,Near Standard,Below Standard,Near Standard,Near Standard,1,2435,19,2,Below Standard,Near Standard,Below Standard
Ana,Angelo,99000029,01/04/2004,M,Hispanic,,Y,N,Y,,SPA,N,8/16/11,8/16/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2535,25,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2583,17,4,Above Standard,Above Standard,Above Standard
Tanya,Anguiano,99000031,03/08/2009,M,Hispanic,,Y,N,,,SPA,N,8/23/12,8/23/12,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2489,24,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2534,17,3,Near Standard,Above Standard,Above Standard
Katharine,Aparicio,99000032,01/12/2010,M,Filipino,,Y,N,Y,,PHI,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2507,25,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2467,18,2,Below Standard,Above Standard,Near Standard
Maryrose,Aragones,99000034,11/13/2010,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2369,27,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2423,19,2,Below Standard,Near Standard,Below Standard
Andrea,Arce,99000035,03/26/2008,M,White,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2393,26,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2506,17,3,Near Standard,Near Standard,Near Standard
Francynn,Arellano,99000036,01/04/2005,M,American Indian / Alaska Native,Y,,N,,,ENG,N,,,,SLD,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2363,27,1,Near Standard,Below Standard,Below Standard,Below Standard,1,2340,25,1,Below Standard,Below Standard,Below Standard
David,Arevalo,99000037,06/26/2009,M,Hispanic,Y,,N,,,ENG,N,,,,SLD,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2210,48,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2353,23,1,Below Standard,Below Standard,Near Standard
Craig,Argueta,99000038,12/28/2007,M,Hispanic,Y,,N,,,ENG,N,,,,SLD,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2293,33,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2354,23,1,Below Standard,Below Standard,Below Standard
Ralph,Armenderiz,99000039,06/16/2004,M,Hispanic,,,N,Y,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2490,24,3,Near Standard,Near Standard,Above Standard,Near Standard,1,2412,20,2,Below Standard,Below Standard,Near Standard
Rayssa,Armenta,99000041,11/10/2011,M,African American,,,N,,,ENG,N,1/28/13,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2541,25,4,Near Standard,Above Standard,Above Standard,Near Standard,1,2508,17,3,Above Standard,Near Standard,Near Standard
September,Armenta,99000042,09/28/2010,M,Asian (non-Filipino),,,N,Y,,MKH,N,8/17/11,8/17/11,5/18/15,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2562,25,4,Above Standard,Near Standard,Near Standard,Near Standard,1,2541,17,3,Above Standard,Above Standard,Near Standard
Kandace,Arnold,99000043,07/26/2008,M,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2327,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2365,22,1,Below Standard,Below Standard,Below Standard
Nicole,Arreola,99000044,05/24/2010,M,Hispanic,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2453,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2445,18,2,Near Standard,Near Standard,Below Standard
Angelica,Arzate,99000048,02/26/2004,M,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/10/16,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2457,25,2,Below Standard,Above Standard,Near Standard,Near Standard,1,2450,18,2,Near Standard,Near Standard,Below Standard
Nicole,Atanante,99000049,03/09/2004,M,Multi-Racial,,,N,,,CHI,N,8/17/11,8/17/11,5/18/15,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2564,25,4,Above Standard,Above Standard,Above Standard,Near Standard,1,2563,17,4,Above Standard,Near Standard,Above Standard
Ashlee,Avalos,99000050,12/14/2010,M,White,Y,,N,,,ENG,N,,,,SLI,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2503,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2495,17,3,Near Standard,Near Standard,Near Standard
Alexander,Avila,99000051,05/27/2005,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2438,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2476,17,2,Near Standard,Near Standard,Near Standard
John,Avila,99000053,11/03/2010,M,African American,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2525,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2513,17,3,Near Standard,Above Standard,Above Standard
Michael,Baker,99000057,03/02/2009,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2501,24,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2496,17,3,Near Standard,Near Standard,Near Standard
Moises,Baker,99000058,09/10/2004,M,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/18/15,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2543,25,4,Near Standard,Above Standard,Above Standard,Near Standard,1,2561,17,4,Above Standard,Above Standard,Above Standard
Tina,Baker,99000059,03/01/2011,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2446,25,2,Below Standard,Near Standard,Near Standard,Near Standard,1,2491,17,3,Near Standard,Near Standard,Near Standard
Olivia,Balanzategui,99000060,08/16/2009,M,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/7/15,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2504,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2496,17,3,Near Standard,Near Standard,Near Standard
Robert,Balanzategui,99000061,06/12/2004,M,Hispanic,,Y,N,,,SPA,N,9/1/10,8/16/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2581,26,4,Near Standard,Above Standard,Near Standard,Above Standard,1,2557,17,4,Above Standard,Near Standard,Above Standard
Kelcie,Bandalaria,99000062,10/17/2009,M,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2452,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2483,17,2,Above Standard,Near Standard,Near Standard
Tiffany,Barahona,99000063,01/28/2004,M,Hispanic,Y,Y,Y,Y,,SPA,N,8/17/11,8/17/11,,EMN,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2542,25,4,Above Standard,Near Standard,Near Standard,Near Standard,1,2494,17,3,Near Standard,Near Standard,Near Standard
James,Barbosa,99000064,09/29/2011,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2444,25,2,Near Standard,Below Standard,Near Standard,Near Standard,1,2465,18,2,Near Standard,Near Standard,Near Standard
Coby,Bardales,99000066,05/21/2008,M,Hispanic,Y,Y,N,,,SPA,N,8/17/09,8/17/09,,SLI,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2381,26,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2438,18,2,Below Standard,Near Standard,Near Standard
Karla,Bardales,99000067,03/25/2004,M,Hispanic,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2316,30,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2373,22,1,Below Standard,Below Standard,Below Standard
Chelsea,Barnabi,99000068,07/15/2008,M,Asian (non-Filipino),,,N,,,URD,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2584,26,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2564,17,4,Above Standard,Near Standard,Above Standard
Kenneth,Barnabi,99000069,04/19/2010,M,Hispanic,Y,Y,N,Y,,SPA,N,8/17/11,8/17/11,,SLD,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2288,33,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2270,35,1,Below Standard,Below Standard,Below Standard
Jesse,Barwig,99000070,07/19/2010,M,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2439,25,2,Below Standard,Near Standard,Near Standard,Near Standard,1,2484,17,2,Near Standard,Near Standard,Near Standard
Marco,Bell,99000071,08/11/2011,M,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2378,26,1,Below Standard,Below Standard,Near Standard,Near Standard,1,2476,17,2,Near Standard,Near Standard,Near Standard
Ryan,Bell,99000072,08/02/2006,M,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2359,27,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2390,21,1,Below Standard,Below Standard,Below Standard
Guadalupe,Benitez,99000073,04/12/2009,M,Hispanic,,,N,Y,,ENG,N,8/17/11,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2432,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2422,19,2,Below Standard,Below Standard,Near Standard
Darcel,Benson,99000074,05/14/2009,M,Hispanic,,Y,N,Y,,SPA,Y,8/16/11,8/16/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2518,25,3,Near Standard,Above Standard,Near Standard,Near Standard,1,2537,17,3,Above Standard,Near Standard,Above Standard
Ashlie,Beveridge,99000075,06/15/2011,M,Hispanic,,Y,N,Y,,SPA,N,8/18/10,8/17/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2354,28,1,Below Standard,Near Standard,Below Standard,Below Standard,1,2423,19,2,Below Standard,Below Standard,Below Standard
Tiffany,Blackstone,99000076,12/19/2007,M,Hispanic,,,N,Y,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2523,25,3,Near Standard,Near Standard,Above Standard,Near Standard,1,2479,17,2,Near Standard,Near Standard,Below Standard
Mark,Blackwell,99000077,04/26/2006,M,Hispanic,,,N,,,SPA,N,9/7/11,9/7/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2593,26,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2526,17,3,Near Standard,Near Standard,Above Standard
Taylor,Bloom,99000079,10/02/2005,M,White,,,N,Y,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2567,25,4,Above Standard,Near Standard,Above Standard,Above Standard,1,2476,17,2,Near Standard,Below Standard,Near Standard
Christopher,Blue,99000080,09/01/2009,M,Hispanic,Y,Y,N,,,SPA,N,8/17/11,8/17/11,,SLD,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,NS,NS,NS,NS,NS,NS,NS,1,2442,18,2,Below Standard,Near Standard,Near Standard
Aaron,Boggs,99000081,12/01/2009,M,Hispanic,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2538,25,4,Near Standard,Near Standard,Near Standard,Above Standard,1,2523,17,3,Above Standard,Near Standard,Near Standard
Kevin,Boggs,99000082,03/29/2005,M,Hispanic,,,N,Y,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2512,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2465,18,2,Near Standard,Below Standard,Near Standard
Ashley,Bohanan,99000083,08/10/2008,M,Hispanic,,Y,N,,,SPA,N,8/20/10,9/20/10,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2383,26,1,Below Standard,Near Standard,Below Standard,Near Standard,1,2400,20,1,Below Standard,Below Standard,Below Standard
Avery,Boileau,99000084,07/14/2009,M,White,,,N,Y,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2627,28,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2531,17,4,Above Standard,Above Standard,Above Standard
Tiera,Boileau,99000085,06/01/2005,M,Hispanic,Y,,N,Y,,ENG,N,8/17/11,,,SLD,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2393,26,1,Below Standard,Near Standard,Below Standard,Near Standard,1,2394,20,2,Below Standard,Near Standard,Near Standard
Carissa,Borja,99000086,09/26/2010,M,Hispanic,Y,Y,N,Y,,SPA,N,8/17/11,8/17/11,,HI,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2389,26,1,Below Standard,Near Standard,Near Standard,Below Standard,1,2388,21,1,Below Standard,Below Standard,Below Standard
Trentorian,Botello,99000087,04/16/2010,M,Hispanic,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2503,24,3,Near Standard,Near Standard,Above Standard,Above Standard,1,2557,17,4,Near Standard,Above Standard,Above Standard
Joseph,Bowens,99000088,12/25/2006,M,White,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2363,27,1,Below Standard,Below Standard,Below Standard,Near Standard,1,2434,19,2,Below Standard,Near Standard,Below Standard
Nicole,Brisco,99000089,08/03/2011,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2371,27,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2437,18,2,Near Standard,Near Standard,Below Standard
Alana,Broughton,99000090,10/07/2005,M,White,Y,,N,Y,,ENG,N,,,,SLD,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2473,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2482,17,2,Near Standard,Near Standard,Near Standard
Frank,Broughton,99000091,11/11/2010,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2492,24,3,Near Standard,Near Standard,Above Standard,Near Standard,1,2487,17,3,Near Standard,Near Standard,Near Standard
Aeriel,Brown,99000092,04/14/2008,M,Hispanic,Y,,N,,,ENG,N,,,,SLD,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2282,34,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2433,19,2,Below Standard,Near Standard,Near Standard
Louis,Buenneke,99000094,07/19/2009,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2380,26,1,Below Standard,Below Standard,Near Standard,Near Standard,1,2441,18,2,Near Standard,Near Standard,Below Standard
Louisa,Bujanda,99000095,05/16/2011,M,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/18/15,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2591,26,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2491,17,3,Above Standard,Near Standard,Below Standard
Jennifer,Bullocks,99000096,05/14/2004,M,Hispanic,,Y,N,,,SPA,N,8/16/11,8/16/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2319,30,1,Below Standard,Below Standard,Below Standard,Near Standard,1,2327,26,1,Below Standard,Near Standard,Below Standard
Elizabeth,Burgess,99000097,10/13/2004,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2495,24,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2487,17,3,Near Standard,Near Standard,Near Standard
Carla,Burry,99000099,11/27/2009,M,American Indian / Alaska Native,Y,,N,,,ENG,N,8/16/11,,,SLI,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2398,26,1,Below Standard,Below Standard,Near Standard,Near Standard,1,2411,20,2,Below Standard,Near Standard,Below Standard
Cesar,Burry,99000100,03/08/2008,M,Hispanic,,,N,Y,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2509,25,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2480,17,2,Near Standard,Near Standard,Near Standard
Sarah,Burry,99000101,10/10/2011,M,White,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2473,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2448,18,2,Near Standard,Near Standard,Below Standard
Daniel,Bustamante,99000102,04/09/2009,M,Hispanic,,,N,,,SPA,N,8/20/11,8/20/11,5/18/15,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2547,25,4,Near Standard,Near Standard,Near Standard,Above Standard,1,2562,17,4,Above Standard,Above Standard,Near Standard
Darren,Butler,99000103,07/02/2011,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2473,24,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2436,19,2,Below Standard,Near Standard,Below Standard
